NAME;ADDRESS
Jesuit Church;69EC
St. George’s Church;81NW
St. Mary’s Church;19EC
St. Patrick’s;57E
St. Paul’s Cathedral;28EC
St. Savior’s;2WC
Scottish National;51EC
Unity Church;31E
Welsh Calvinist;11WC
Westminster Abbey;17SW
Westminster Chapel;88SW
CLUBS;
Anglo-Indian;67WC
Bagatelle Card Club;14NW
Baldwin Card Club;88SW
Carleton;7SW
Cavendish, The;25NW
Diogenes Club;8SW
Irish Social Club;8SE
Russian Social Club;7SE
Societies;2SW
Tankerville;34WC
West End Social Club;12WC
COCOA MANUFACTURERS;
Cadbury Bros;76SE
Epps;76NW
Fry & Sons, J.S.;95EC
CORONER’S OFFICE;
Coroner;91EC
Medical Examiner;38EC
CYCLES;
Bayliss Cycles;92EC
Swift Cycle Co;90EC
DENTISTS;
Harrison Beaufort;23WC
A. A. Goldsmith;93NW
G. H. Jones;64WC
DEPARTMENT STORES;
Bon Marche;81NW
Cobay’s;6NW
Farmer & Rogers;90NW
Gamage’s;61EC
Hanover House;82NW
Liberty & Co;91NW
Marshall & Snelgrove’s;33NW
Peter Robinson’s;71NW
Selfridge’s;74NW
Tendwell & Krebs;27EC
Whiteley’s;71EC
DETECTIVE AGENCIES;
Barker’s;66WC
Francis Baird;25EC
Martin Hewitt;77SE
Moser’s Agency;18WC
Paschal: Investigations;78WC
Pinkerton Internat’l;24NW
Tod’s Private Enq;84SW
DOCKS;
Commercial Docks;66S
East India Docks;99E
Limehouse Docks;96E
London Docks;94E
Outer Docks;98E
St. Katherine Docks;93E
Shadwell New Basin;95E
West India Docks;97E
DOCTORS;
Agar, Dr. Moore;93NW
Ainstree, Dr. A;32WC
Bestianelli, Dr.;39EC
Fell, Dr. Gideon;55WC
Gibilsco Dr.;46SE
Harringan, Dr. M;35E
Horowitz, Dr. J;9S
Jackson, Dr.;64EC
Mason, Dr. Jerrold;29WC
Richards, Dr.;83WC
Saari, Dr. Ilona;3S
Trevelyan, Dr. Percy;19SW
Verner, Dr.;60SE
Watson, Dr. John H;42NW
EMBASSIES;
American Embassy;18SW
China Legation;38NW
French Embassy;59SW
German Embassy;9SW
Russian Embassy;54SW
Spanish Embassy;38SW
FLORISTS;
Finsterwald Florists;46WC
George Flowers;50NW
Grayson’s Nursery;50EC
Mayall’s;9WC
Stirges Florist;31SW
Waldenboch Florist;24NW
FURRIERS;
Arctic Fur Store;68WC
Debenham & Freebody;34NW
Jeff & Harris;24NW
National Fur Store;64WC
GOVERNMENT OFFICES;
Government Office;14SW
Colonial Office;91SW
Foreign Office;92SW
Home Office;93SW
India Office;94SW
Printing Office;95SW
GUIDES;
Ladies Couriers;16NW
Miss L. E. Elwin;31SE
GUNSMITHS;
Colt’s Fire Arms Co;12NW
Grant Arms Co;5EC
Rigby & Co;1SW
S. Goff;28WC
Westley, Richards;31NW
Winchester Arms Co;21EC
HOSPITALS;
Charing Cross;91WC
Chelsea Hospital;45SW
King’s College;71WC
London Hospital;92E
Middlesex Hospital;10NW
Royal Greenwich Hosp;65S
St. Bartholomew’s;38EC
St. George Hospital;57SW
St. Thomas Hospital;29SE
HOTELS;
Bentley’s Private;32WC
Bridge House Hotel;3SE
Charing Cross Hotel;90WC
Claridge’s Hotel;30NW
Dacre Hotel;62EC
De Keyser’s Royal Hotel;31EC
Grand Hotel;22WC
Grosvenor Hotel;69SW
Halliday’s Private;15SW
Hotel Cosmopolitan;71SW
Langham Hotel;36NW
Metropole Hotel;27WC
Metropolitan Hotel;10EC
Mexborough Private;76EC
Midland Grand Hotel;16SE
Piccadilly Hotel;26NW
St. Pancras Hotel;48WC
Tranter’s Temperance;70EC
INNS;
Alpha Inn;65WC
Bishop’s Finger Inn;18EC
Black Crown;88EC
Blue Ball Inn;50E
Crown Inn;83NW
George & Vulture;93WC
Raven & Rat Inn;52EC
Red Boar Inn;34SE
Serjeant’s Inn;21NW
Spaniard’s Inn;25SW
Staple Inn;35WC
Star & Plow;73E
Ye Old Cheshire Cheese;34EC
INNS OF COURT;
Gray’s Inn;10WC
Lincoln’s Inn;13WC
Temple, The;33EC
INSURANCE COMPANIES;
Lloyd’s Shipping Reg;17EC
London & Globe;79SW
Pearl Assurance Co;86EC
Provident;68EC
Royal Insurance Co;68NW
JEWELERS;
A. Marx & Co;36SE
Carrington & Co;33WC
De Vries Diamond;34SW
Gross & Hankey’s;90NW
J. W. Benson Ltd;17NW
Lambert’s;88SW
Ortner & Houle;75WC
R. S. Garrard & Co;44EC
Rowlands & Frazier;40NW
LIBRARIES;
Central News Agency;63EC
Colonial Institute;86SW
Guildhall Free Library;39EC
Law Society Library;78WC
London Library;5SW
Mudie’s Select Library;36WC
MAP SELLERS;
Bacon & Co;20WC
C. Smith & Sons;67EC
Stamford’s Geological;29WC
MUSIC HALLS;
Alhambra Music Hall;25WC
Oxford Music Hall;13NW
Pavilion Music Hall;20NW
St. James Hall;22NW
Tivoli Music Hall;23WC
NEWSPAPERS;
Central Press Syndicate;25EC
Daily Chronicle;64EC
Daily Gazette;74WC
Daily News;71SE
Daily Telegraph;88NW
Evening News Standard;9NW
Pall Mall Gazette;90SW
Police Gazette;35EC
St. James Gazette;89SW
Spectator;51SE
Sporting Times;47EC
Standard;40EC
Star;26NW
Times;30EC
PARKS;
Archbishop’s Park;90SE
Buckingham Palace Gns;96SW
Deptford Park;62S
Green Park;97SW
Greenwich Park;63S
Hyde Park;95NW
Regents Park;97NW
St. James Park;98SW
Southwark Park;61S
PAWNBROKERS;
Hoch’s;26E
Jabez Wilson;73EC
Saul Leibowitz;1E
Zebediah’s;47E
POLICE STATIONS;
Bow Street;70WC
Lambeth;53SE
Old Bailey;36EC
Scotland Yard Police Station;13SW
Thames Division Station;9E
Titchfield;89NW
POSTOFFICES;
EC District;93EC
SW District;32SW
WC District;6WC
Investigation Dept;12WC
Post Office Banks;6SE
PRINTERS;
Ackermann;12E
Lefevre;3EC
St. Bride’s Foundat’n;63EC
Valadon & Co;1SE
PUBLIC HOUSES;
The Anchor;23E
The Angel;75E
The Bar of Gold;33SE
Elephant’s Nest;25S
Henekey’s Wine Lodge;10WC
Inquisition;5S
Ivy Plant;76SW
Jamaica Winehouse;97EC
Nag’s Head;48E
Pavilion;20NW
Princess Louise;90EC
Punch & Judy;73WC
Sheriff’s Wine Lodge;71EC
Sir Galahad’s;27EC
White Eagle;50SE
White Hart;55SE
RESTAURANTS;
Appenrodt’s German;16EC
Cafe Monico;90NW
Cafe Royal;82SW
Chinese Wonders;57NW
Driver’s Oyster Bar;72WC
Globe;19NW
Goldini’s;48SW
Haxell’s Restaurant;19NW
Holborn;61EC
Keen’s Chop House;37WC
Romano’s;19WC
Rule’s;19WC
Ship & Turtle;83EC
Simpson’s;20WC
Vegetarian Restaurant;74EC
Scotland Yard Station;
Scotland Yard;13SW
Criminal Investigation;13SW
Criminal Laboratory;22SW
Public Carriage Office;5WC
Special Branch;85SW
Thames Division;9E
SETTLEMENT HOUSES;
Alms House;20E
Arlington House;42E
Mariner’s House;41S
Marywood House;22E
Pembroke Mission;63SE
Toynbee Hall;17S
SHOEMAKERS;
Hoby & Gullick;89SW
Holden Brothers;80NW
Lattimer’s Bootery;77NW
Thierry;77WC
Yapp;83SE
SOLICITORS;
Cartwright, Whitney;29WC
Cunningham, Charles;78WC
Dagit, Philip;75WC
Davenport, Hiram;13WC
Diggs, Harold;33WC
Epsoms, Rory;69NW
Gunderson, Wilkie;76WC
Japes, William;39EC
Morris, William;68NW
Ormond, Reginald;66EC
Sloane, Sir Sidney;29WC
Sutro, Arnold;8NW
Swathmore, Henry;29WC
Tuttle, Melvin;29WC
Somerset House Office;
Somerset House ;17WC
Audit Office;17WC
Inland Revenue Office;17WC
Registrar of Births;17WC
Registrar of Deaths;17WC
Registrar of Marriages;17WC
SPORTING SOCIETIES;
Amateur Athletic Assoc;8NW
Croquet Association;41SW
Cyclists’ Touring Club;75EC
Football Association;55NW
Friends of Baritsu;83WC
Lacrosse Association;2NW
Lawn Tennis Assoc;74EC
Life Saving Society;44WC
London Rowing Club;66EC
Marylebone Cricket Cl;48NW
Prince’s Skating Club;98SW
Royal Blackheath Golf;61SW
Royal Toxophilic Soc;82SW
Rugby Football Union;58NW
Shooting Society;46NW
STABLES;
Central Carriage;5WC
Henry Whitlock Co;61EC
J. Offord & Co;82NW
Morgan & Co;68NW
Rudge & Singer;21SE
STATIONERS;
A. W. Faber;29EC
Ducket & Co;27EC
G. Vickers;95WC
Gillot & Sons;89EC
STATIONS;
Bow;101E
Charing Cross Station;21WC
Coborn Road;100E
Deptford Road;67S
Euston;52WC
H & S.R. Goods;104E
Limehouse Station;107E
Liverpool Street;9EC
London Bridge;4SE
Shadwell;105E
South Bromley;103E
Stepney;106E
Victoria;37SW
Waterloo;37SE
West India Dock;108E
Whitechapel;102E
STEAMSHIP COMPANIES;
Aberdeen Navigation Co;26EC
Bloggs Lines;25E
Co. Gen. Transatlantique;27S
Cunard Line;83EC
Dominion Line;71E
Guion Steamship Co;53E
Hamburg-Amerika Line;28E
Jardine, Matheson & Co;15EC
Liverpool, Dublin & London Steam Packet;55E
Thames Steamboat Co;40SE
West Indies Steamship;20EC
SYNAGOGUES;
Great Synagogue;21SW
Spanish Synagogue;19E
TAILORS;
Poole & Co;10EC
Radford, Jones & Co;11WC
Roberts & Parfitt;88SE
Tetley & Butler;16NW
West End Clothiers;16WC
TEA MERCHANTS;
A.B. Muirhead;41EC
Dakin & Co;94EC
Ferguson & Muirhead;16EC
Ridgways;24NW
Sipton & Co;39EC
Twining & Co;16WC
TEA ROOMS;
Buszard’s;84NW
Ladies’ Own Tea Assoc;31NW
Mrs. Robertson;78NW
Wisteria Lounge;49E
THEATRES;
Allegro Theatre;94WC
Apollo Theatre;19NW
Covent Garden Theatre;30WC
Drury Lane Theatre;31WC
Elephant & Castle;13SE
Lyceum Theatre;4SW
Olympia, The;18WC
Princess Theatre;63SW
Royalty Theatre;15NW
TOBACCONISTS;
Amber & Co;35WC
Benson & Hedges;16NW
Bradley’s;54NW
Carlin;7SW
Dunhill’s;86SW
Friboug & Treyer;88SW
Little Newspaper Shop;93WC
Mortimer’s;95WC
Simpson’s Cigar Divan;20WC
Wolff, Phillips & Co;44SE
WATCHMAKERS;
Barraud & Lunds;16EC
Chas. Frodsham & Co;38NW
WINE MERCHANTS;
Dolamore & Co;36SE
Westhouse & Marbank;46EC
